No.,Folder,File
1,104080021_Sastra Nur Alamsyah,uploads/train/104080021_Sastra Nur Alamsyah/WIN_20240119_22_58_38_Pro.jpg
2,104080021_Sastra Nur Alamsyah,uploads/train/104080021_Sastra Nur Alamsyah/Foto_Sastra Nur Alamsyah.jpg
3,104080021_Sastra Nur Alamsyah,uploads/train/104080021_Sastra Nur Alamsyah/Screenshot from 2024-01-24 11-11-53.png
4,Susanti Fransiska,uploads/train/Susanti Fransiska/589831SUSANTI_FRANSISKA_-_IT-removebg-preview.png
5,Ridho Wijaya,uploads/train/Ridho Wijaya/408111RIDHO WIJAYA - IT.png
6,Ridho Wijaya,uploads/train/Ridho Wijaya/WhatsApp Image 2024-01-20 at 10.44.48.jpeg
7,JBP,uploads/train/JBP/883094JAJAT_BUDHI_P_-_IT-removebg-preview.png
1,Lenny_Wilkens,uploads/trained/Lenny_Wilkens/Lenny_Wilkens_0001.jpg
2,Lenny_Wilkens,uploads/trained/Lenny_Wilkens/Lenny_Wilkens_0003.jpg
3,Lenny_Wilkens,uploads/trained/Lenny_Wilkens/Lenny_Wilkens_0002.jpg
4,Beth_Jones,uploads/trained/Beth_Jones/Beth_Jones_0001.jpg
5,Beth_Jones,uploads/trained/Beth_Jones/Beth_Jones_0002.jpg
6,Donna_Shalala,uploads/trained/Donna_Shalala/Donna_Shalala_0001.jpg
7,Donna_Shalala,uploads/trained/Donna_Shalala/Donna_Shalala_0002.jpg
8,Stephane_Rousseau,uploads/trained/Stephane_Rousseau/Stephane_Rousseau_0001.jpg
9,Edina_Batar,uploads/trained/Edina_Batar/Edina_Batar_0001.jpg
10,Marisol_Breton,uploads/trained/Marisol_Breton/Marisol_Breton_0001.jpg
11,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0009.jpg
12,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0001.jpg
13,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0006.jpg
14,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0007.jpg
15,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0003.jpg
16,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0005.jpg
17,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0002.jpg
18,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0010.jpg
19,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0011.jpg
20,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0008.jpg
21,Richard_Gephardt,uploads/trained/Richard_Gephardt/Richard_Gephardt_0004.jpg
22,Suh_Chung-won,uploads/trained/Suh_Chung-won/Suh_Chung-won_0001.jpg
23,Marie-Josee_Croze,uploads/trained/Marie-Josee_Croze/Marie-Josee_Croze_0001.jpg
24,Atal_Bihari_Vajpayee,uploads/trained/Atal_Bihari_Vajpayee/Atal_Bihari_Vajpayee_0023.jpg
25,Atal_Bihari_Vajpayee,uploads/trained/Atal_Bihari_Vajpayee/Atal_Bihari_Vajpayee_0019.jpg
26,Atal_Bihari_Vajpayee,uploads/trained/Atal_Bihari_Vajpayee/Atal_Bihari_Vajpayee_0003.jpg
